연번,사업자명,사업자등록번호,업종명(대분류),소재지
7996,광인사,1068148621,제조업,경기 파주시 월롱산로 61-20 (야동동)
7997,한국스펙트,1268115482,제조업,경기 용인시 처인구 원삼면 맹리로 34-1 (한국스펙트)
7998,필플러스,1248647907,제조업,경기 화성시 정남면 여의동길 90-16 
7999,지러스트,1198116178,도매 및 소매업,경기도 광명시  새빛공원로 67 (일직동) B동 15층 06호
8000,피그넷코리아,3038145701,제조업,충북 충주시 신니면 수월2길 74 
8001,신일하이테크,5058169522,제조업,경상북도 경주시 건천읍 용명공단길 173-189 (건천읍)
8002,삼성그라테크,1358121256,제조업,경기 화성시 마도면 마도로 458 
8003,지크린텍,4088122342,제조업,전남 화순군 동면 동농공길 102 (주)지크린텍
8004,에스피아이디,1088180520,정보통신업,서울특별시 금천구 가산디지털1로 145 18층 1803호 (에이스하이엔드타워3차)
8005,엠코코아,1108192602,정보통신업,서울특별시 마포구  월드컵북로 396 (상암동) 8층 806호
8006,세이소프트,3118126651,정보통신업,충청남도 예산군 삽교읍 청사로 217 3층 301호 (엔젤스타워 1차)
8007,유진엘이디,1288141410,제조업,경기도 고양시 일산동구  감내길 48-40 (성석동)
8008,성진정밀,3178124423,제조업,충북 청주시 청원구 오창읍 괴정길 25 
8009,엠티디아이,3148626878,제조업,대전광역시 유성구 테크노1로 21 
8010,티피와이,1248191354,제조업,경기 화성시 우정읍 한뿌리1길 39-8 
8011,성익에너지산업,5128105870,건설업,충북 제천시 용두대로 209 (하소동)
8012,이오나노켐,3148191641,도매 및 소매업,세종특별자치시  전의면 산단길 21-191 
8013,레인테크,1248690103,제조업,경기 화성시 반월길 82 (반월동)
8014,한독특수금속,1348164209,제조업,경기 화성시 송산면 용포로 48 (주)한독특수금속
8015,농업회사법인경인사료,3118110450,제조업,충남 당진시 순성면 대촌1길 24 
8016,대하전선,1198106383,제조업,경기 용인시 기흥구 덕영대로 2022 (상갈동)
8017,케이엘에스,2228121282,제조업,경상북도 영주시 문수면 반구로 380-17 (문수면)
8018,비엔이코리아,1408161906,제조업,경기도 화성시 정남면 발안로 995-16 
8019,아카넷,3148608303,정보통신업,"대전 서구 월평동 271 월평동,미래빌딩 10층"
8020,소마,3038129657,제조업,충청북도 음성군 음성읍 한불로69번길 24 (음성읍)
8021,로프캠프,6218186522,제조업,부산 기장군 정관읍 산단5로 76-21 (다이나모코리아)
8022,코커스,1308630963,제조업,경기 부천시 원미구 도약로 261 대우테크노파크 D동 1108호 (도당동)
8023,일천산업,5035461339,제조업,대구 달성군 구지면 국가산단대로46길 71 
8024,텍넷,2068642878,정보통신업,서울 광진구 아차산로78길 44 3차 805호 (광장동)
8025,진흥염직,5038605473,제조업,대구 서구 염색공단중앙로 112 (비산동)
8026,대아산업,5043365992,제조업,대구 북구 검단로31길 51-5 (검단동)
8027,본시스,3178111587,제조업,충북 청주시 서원구 성화로69번길 11 (성화동)
8028,엠피케이정공,4108191390,제조업,광주 광산구 평동로 845 845 (옥동)
8029,대신폴리텍,5108110926,제조업,경상북도 김천시 어모면 산업단지로 122 
8030,대명영농조합법인,5058144837,제조업,경북 영천시 고경면 청정길 118-29 
8031,제일아쿠아,2048166210,제조업,"서울 성북구 안암로1길 22 3,4층 (보문동7가, 정수빌딩)"
8032,성곡,6158127213,제조업,충청남도 아산시 둔포면 아산밸리중앙로 122 (둔포면)
8033,셀파소프트,1058692814,정보통신업,"서울특별시 금천구  벚꽃로 278 (가산동, SJ테크노빌) 813호"
8034,산찬섬유,5038139788,제조업,대구 달서구 성서공단로35길 11 (갈산동)
8035,신명이노텍,1268630149,제조업,경기 화성시 정남면 서봉로851번길 92-31 
8036,베스트에프에이,6098607712,제조업,경상남도 창원시 성산구 연덕로15번길48-19 (웅남동)
8037,리얼테크,1428178849,제조업,경기 용인시 처인구 백옥대로1300번길 9 (유방동)
8038,한림PACK,5148107229,제조업,대구광역시 달성군 논공읍 논공중앙로 394 (논공읍)
8039,네스앤텍,3148617286,제조업,대전광역시 유성구 테크노11로 32 
8040,아임유,1088193646,도매 및 소매업,"서울특별시 금천구  가산디지털2로 115 (가산동, 대륭테크노타운Ⅲ) 609호"
8041,디엠티,4168167302,제조업,전라남도 여수시 율촌면 율촌산단2로 241-24 
8042,다래비젼,1388153664,"전문, 과학 및 기술 서비스업",경기도 안양시 동안구  엘에스로91번길 32-18 (호계동) 2층
8043,조인테크놀러지,1428115145,제조업,경기 부천시 오정구 석천로 397 일반제조(104)동 510호 (삼정동)
8044,건우테크,6058196649,"전문, 과학 및 기술 서비스업",부산광역시 강서구  과학산단1로60번길 30 (지사동) 부산테크노파크 8동 1층
8045,유타스,5028609933,정보통신업,대구 동구 율암로 149-56 (상매동)
8046,에프에이치아이코리아,1288622795,"전문, 과학 및 기술 서비스업",서울특별시 서초구  강남대로99길 53 (잠원동) (잠원동 삼우빌딩) 6층
8047,경일에프비,6158194518,제조업,경상남도 김해시 진영읍 진산대로 135-55 (진영읍)
8048,니트로아이,1358614177,정보통신업,경기도 수원시 팔달구  경수대로446번길 24 (인계동) 5층
8049,반디프린팅,1348121307,제조업,경기도 화성시 마도면 청원산단1길 39 (마도면)
8050,제이솔루션,1448120848,도매 및 소매업,"부산 동구 초량중로 14 102호 (초량동, 애뜰안)"
8051,삼영피팅,6068614136,제조업,부산 강서구 낙동남로533번길 63 (녹산동)
8052,엠아이티,1348646206,제조업,"경기 안산시 단원구 해안로 352 (초지동, (주)엠아이티)"
8053,라지,5038187451,제조업,대구광역시 달성군 유가읍 테크노중앙대로 100 (유가읍)
8054,중앙아이앤씨,6091742805,제조업,경상남도 창원시 성산구  성주로81번길 22 (남산동)
8055,에스피케이,1328190899,제조업,경기 양평군 양서면 복개길5번길 14-4 
8056,한국해양기상기술,1138644614,정보통신업,"서울특별시 구로구  경인로53길 90 (구로동, 에스티엑스더블유타워) 1503호"
8057,비앤에스조인트,1408188642,제조업,"경기도 시흥시  경기과기대로 109 (정왕동, 시화공단3라727호)"
8058,휴먼플러스,1058748635,정보통신업,"서울특별시 영등포구  당산로41길 11 (당산동4가, 당산SK V1 center W1303호)"
8059,제이엠기어,6208135961,제조업,울산광역시 울주군 언양읍 반천산업로 108-53 (언양읍)
8060,그린플로우,1238613893,제조업,경기 군포시 산본로54번안길 4 (당정동)
8061,에이치디앤텍,2068636250,제조업,"서울특별시 성동구  연무장5길 18 (성수동2가, 에이치디앤텍빌딩)"
8062,그랜드썬기술단,4098610941,건설업,부산광역시 강서구  체육공원로6번길 109 (대저1동)
8063,보원,5138123279,제조업,"경상북도 구미시  수출대로9길 68-15 (공단동, (주)세비텍)"
8064,포도,2148884397,정보통신업,경기도 성남시 수정구 창업로 43 1001호 (판교글로벌비즈센터 B동)
8065,융합테크,1138652512,제조업,"경기 시흥시 은계로 73 나동 (은행동, 와이에이치 테크노타운)"
8066,하닉스,1198659982,제조업,"서울특별시 금천구 가산디지털2로184 (가산동, 벽산디지털밸리2차  제1313호)"
8067,탑스,1408142078,제조업,경기도 안산시 단원구 해봉로 225 
8068,금호덴탈제약,1198133672,제조업,서울 금천구  가산로 60 (독산동)
8069,신동아전자,1248156191,제조업,경기 화성시 봉담읍 주석로 1156 
8070,보타리에너지,1258142837,제조업,제주 제주시 애월읍 녹근로 130 
8071,프라임메디칼,1248684009,제조업,경기도 화성시 남양읍 남양로 335 
