연번,사업자명,사업자등록번호,업종명(대분류),소재지
1,석경에이티,1348163122,제조업,경기 안산시 단원구 별망로459번길 24 6블럭 14로트 (목내동)
2,케이시스,6138178017,정보통신업,경상남도 창원시 성산구  마디미동로 25 (상남동) 비전빌딩 8층
3,지음지식서비스,1098638374,"전문, 과학 및 기술 서비스업",경기도 성남시 수정구  창업로 42 (시흥동) 532호
4,엠플러스,1238187371,제조업,충북 청주시 흥덕구 옥산면 옥산산단로 27 (주)엠플러스
5,에스티씨엔지니어링,1958700065,제조업,경기도 평택시 서탄면 수월암길 113-18 (서탄면)
6,켐피아,1348642777,도매 및 소매업,경기 수원시 영통구 창룡대로 260 (이의동)1108호~1111호
7,풍림무약,1048102314,제조업,"서울 중구 소월로 10 (남대문로5가,단암빌딩)"
8,이엔타,6938601407,정보통신업,"경기도 수원시 영통구 신원로 55 7층 714호 (신동,테크트리영통 지식산업센터)"
9,아이엠파인,7908600937,정보통신업,"서울 마포구 잔다리로 31 , 1-4-5층 (서교동, 제우피스빌딩)"
10,신신엠앤씨,5048184781,도매 및 소매업,대구광역시 북구  침산남로9길 20 (침산동) 4층
11,위우너스,2158749187,정보통신업,서울특별시 송파구 중대로 135 1201호 (아이티벤처타워 동관 1201호)
12,오션정보기술,3058195207,정보통신업,대전광역시 서구  만년로68번길 15-23 (만년동)
13,엠앤와이즈,1298176983,정보통신업,서울특별시 구로구  디지털로 243 (구로동) 601~605호
14,이레아이디에스,2648126603,정보통신업,서울특별시 송파구 문정2동 (문정동) 642-3 문정역SKV1 C동 6층 616호
15,JVM,5038131016,제조업,대구 달서구 호산동로 121 (호산동)
16,소프트제국,6208800836,정보통신업,"경기도 고양시 덕양구 서정로 9 3,5층 (행신동, 소프트제국빌딩)"
17,솔박스,2148721395,정보통신업,서울특별시 강남구 테헤란로 124 10층 (삼원타워 )
18,큐알티,1268675409,제조업,경기도 이천시 부발읍 경충대로2091 
19,내담씨앤씨,1298624627,정보통신업,경기도 성남시 분당구  판교역로 231 (삼평동) s동 711호
20,마이건축사사무소,2148620569,"전문, 과학 및 기술 서비스업",서울 성동구 성수일로4길 25 서울특별시숲코오롱디지털타워 210호 (성수동2가)
21,동구바이오제약,1138103336,제조업,"서울 송파구 법원로 114 B동 4층 (문정동, 엠스테이트)"
22,아산에스앤테크,6068624309,제조업,부산 강서구 화전산단2로134번길 41 (화전동)
23,디알젬,2208671516,제조업,"경기 광명시 하안로 60 E동 709호 (소하동, 광명테크노파크)"
24,퓨처젠,1088162366,정보통신업,"서울특별시 구로구  디지털로31길 38-21 (구로동, 이앤씨벤처드림타워3차1101호) 11층"
25,프로텐,3308800608,정보통신업,"서울특별시 금천구  가산디지털1로 145 (가산동, 에이스하이엔드타워3차) 1104호"
26,더유제약,1138669177,"전문, 과학 및 기술 서비스업",서울특별시 강남구 삼성로81길 6 
27,아이퀘스트,1018142433,정보통신업,서울 구로구 디지털로34길 55 코오롱싸이언스밸리 407호 (구로동)
28,다보코퍼레이션,1138143191,도매 및 소매업,"서울 금천구 가산디지털2로 115 대륭테크노타운3차 909 (가산동,대륭테크노타운Ⅲ)"
29,일렉콤,1338128627,제조업,경기 이천시 마장면 덕이로202번길 99 
30,슈어소프트테크,2118710133,정보통신업,경기도 성남시 수정구  금토로80번길 37 (금토동) 이동
31,엑스코어시스템,5978600662,정보통신업,"세종 집현중앙7로 6 (집현동) 세종대명밸리온 B503~508,B512,B513,B516~B518"
32,골든블루,6218154923,제조업,부산 기장군 정관읍 농공길 89-2 ((주)천년약속)
33,에이엔에이치스트럭쳐,6138173462,"전문, 과학 및 기술 서비스업","경상남도 진주시  범골로54번길 2 (충무공동, ANH structure)"
34,에스아이아이에스,3188100249,도매 및 소매업,"대전광역시 유성구  과학로 169-84 (신성동, 한국항공우주연구원) 132호"
35,디에스케이,1388113022,제조업,경기도 안산시 상록구  수인로 710 (사사동)
36,케이아이엔엑스,1018159273,정보통신업,"서울 강남구 강남대로 636 (신사동) 두원빌딩 7,10층"
37,에이티에스,1218640832,제조업,경북 구미시 산동읍 첨단기업로 79 
38,에니트,3648700884,제조업,광주 북구 첨단과기로 333 (대촌동) 시험생산동 303호
39,아마다웰드테크코리아,2298105487,제조업,경기 화성시 동탄하나1길 28(능동)
40,알에스엔,1288194256,정보통신업,경기도 고양시 일산서구 킨텍스로 240 24층 (GIFC타워)
41,카이트로닉스,2208879899,제조업,서울특별시 금천구 디지털로9길 46 12층 1202호 (이앤씨드림타워7차)
42,영림원소프트랩,2208123474,정보통신업,"서울 강서구 양천로 583 A동 23층 (염창동, 우림블루나인비즈니스센터)"
43,덱스레보,1198678150,"전문, 과학 및 기술 서비스업",서울특별시 강남구  선릉로 632 (삼성동)
44,아이쓰리시스템,3148123158,제조업,대전 유성구 테크노5로 69 (관평동)
45,대원지에스아이,5048104185,제조업,경상북도 칠곡군 왜관읍 아곡6길 42 (왜관읍)
46,대운교통,6088102363,운수 및 창고업,경상남도 창원시 성산구 불모산로48번길 5 
47,대곤코퍼레이션,1168144170,제조업,"서울 구로구 디지털로 285 (구로동, 에이스트윈타워1차 12층 1201호)"
48,영도산업,6038116464,제조업,부산 강서구 녹산산업중로 22 (송정동)
49,스토리숲,1138677473,정보통신업,"경기도 안양시 동안구  학의로 250 (관양동, 관양 두산 벤처다임) 401,402호"
50,조은아이앤에스,1078685473,정보통신업,서울 영등포구 선유로 70 우리벤처타운II 303 (문래동3가)
51,서진씨엔에스,3018141581,정보통신업,"충청북도 청주시 상당구 1순환로 1202-3 403호 (방서동,서진빌딩)"
52,엠투엠글로벌,1208635490,정보통신업,"서울 영등포구 영등포로 150 B동 1509호 (당산동1가, 생각공장 당산)"
53,코젠바이오텍,1018156320,"전문, 과학 및 기술 서비스업",서울특별시 금천구  가산디지털1로 168 1101호 (가산동)우림 라이온스밸리
54,한일네트워크엔지니어링,1208167264,"전문, 과학 및 기술 서비스업",경기도 성남시 중원구 둔촌대로457번길 27 1307호
55,엔에이치알,1618601410,"전문, 과학 및 기술 서비스업",서울특별시 강서구 화곡동(화곡본동) 105번지 68호
56,사이냅소프트,2148664984,정보통신업,"서울 강서구 마곡중앙4로 62 (마곡동, 사이냅소프트 R&D센터)"
57,한서켐,1338124408,제조업,경기 평택시 포승읍 포승공단로 41 ((주)한서캠)
58,그로브소프트,2208839164,정보통신업,서울특별시 용산구 서빙고로 17 23층 2302호 (센트럴파크타워)
59,넥스엔정보기술,2208729316,정보통신업,"서울특별시 강남구 언주로75길 19 2층 203호 ((역삼동,역원빌딩))"
60,부곡스텐레스,6218126198,제조업,부산광역시 강서구  미음국제7로 5 (미음동)
61,더블다운인터액티브,1298617373,정보통신업,서울특별시 강남구 테헤란로 152 13층 (강남파이낸스센터)
62,삼덕통상,6038133707,제조업,부산 강서구 낙동남로511번길 11 (녹산동)
63,핑거,1208615854,정보통신업,"서울특별시 영등포구  여의대로 24 (여의도동) (여의도동, 전국경제인연합회회관) 43층"
64,더블유게임즈,2148896326,정보통신업,"서울 강남구 테헤란로 152 16층 (역삼동, 강남파이낸스센터)"
65,켐트로스,8388800039,제조업,경기 안산시 단원구 능안로 7 (목내동)
66,창성소프트젤,2068174512,제조업,경기도 포천시 소흘읍 소흘로 99-0 (소흘읍)
67,글로벌테크놀로지,8708600193,정보통신업,충청남도 아산시 음봉면 (음봉면) 쌍암리 5-49
68,가인지캠퍼스,6398800543,도매 및 소매업,"서울 마포구 토정로 16 201호 (합정동, 평산빌딩)"
69,노블디자인,1298619099,"전문, 과학 및 기술 서비스업",경기도 용인시 기흥구 서천로201번길 11 640호 (기흥테라타워)
70,이엘피,2148640186,제조업,경기도 화성시 삼성1로2길 29 
71,레인보우로보틱스,3148621854,제조업,"대전 유성구 엑스포로339번길 10-19 (문지동, (주)레인보우)"
72,하이브랩,1448101176,정보통신업,경기도 성남시 분당구 대왕판교로 670 유스페이스2 에이동 8층
73,HS하이테크,1348691545,제조업,경기도 화성시 정남면 정남산단로 100 (정남면) 2층
74,로버스텍,6098619620,제조업,부산광역시 강서구 미음산단2로16번길 15 (구랑동)
75,에이씨케이,1108146016,정보통신업,경기 하남시 조정대로 150 아이테코 9층 933호 (덕풍동)
76,브릭,1298664920,정보통신업,경기도 성남시 분당구 판교역로 230 (삼환하이펙스B동 309호)
77,한국다이요잉크,1348101558,제조업,경기 안산시 단원구 만해로 166 (신길동)
78,코미코,1258614826,제조업,경기도 안성시 모산로8 (신모산동)
79,단암시스템즈,1238171660,제조업,경기도 안양시 동안구  동편로 79-26 (관양동)
80,서북,6718801814,정보통신업,"충청남도 천안시 동남구 만남로 72, 3층(신부동)"
81,시퀀스엔,2858100634,도매 및 소매업,서울특별시 서초구  서초대로 397 (서초동) 301호
82,사나이시스템,2208628019,정보통신업,인천광역시 연수구  송도과학로 32 (송도동) M동 2803호
83,디투에스,4338700778,"전문, 과학 및 기술 서비스업",서울 강남구 테헤란로63길 20 (삼성동) 제이제이빌딩 2층
84,머큐리,1378131255,제조업,인천 서구 가재울로 90 (가좌동)
85,대흥소프트밀,1268626999,제조업,경기도 광주시 초월읍 동막골길 276 
86,라온구조안전기술,1028144749,"전문, 과학 및 기술 서비스업",서울특별시 송파구  송파대로 55 (장지동) 서울복합물류 A동 6층 605호
87,기가비스,1358168528,제조업,경기 평택시 진위면 진위산단로 53-86 
88,미래아이엔씨,1068193204,"전문, 과학 및 기술 서비스업","서울특별시 금천구  가산디지털2로 144 (가산동 , 현대테라타워DK) 1301호"
89,라인업시스템,1068159531,제조업,경기 김포시 통진읍 마송2로104번길 132-21 
90,제신,1168164972,도매 및 소매업,서울특별시 강남구 테헤란로87길 22 (한국도심공항터미널 502호)
91,농업회사법인다비육종,1258115252,도매 및 소매업,경기 안성시 일죽면 서동대로 7381-8 
92,파크시스템스,2148615106,제조업,경기 수원시 영통구 광교로 109 나노소자특화팹센터 4층 (이의동)
93,남경엔지니어링,1028700253,"전문, 과학 및 기술 서비스업",경북 경주시 양정로 233 (동천동)
94,트리플하이엠,2208693067,"전문, 과학 및 기술 서비스업",서울특별시 금천구 디지털로 121 10층
95,대진정보기술,4098160956,정보통신업,전라남도 담양군 고서면 원등2길 69-9 (고서면) 2층
96,이에스피,1388199490,제조업,"경기 안양시 동안구 벌말로 123 403~405호 (관양동, 평촌스마트베이)"
97,엠알이노베이션,5038196630,도매 및 소매업,대구광역시 수성구 알파시티1로 129 (MR Fine Tower )
98,대륜산업,4028115620,제조업,전북 완주군 봉동읍 완주산단7로 115 
99,씨아이알에스그룹코리아,1828101294,"전문, 과학 및 기술 서비스업","서울 강서구 양천로 583 B동 2305호 (염창동, 우림블루나인비즈니스센터)"
100,양전자시스템,1208195299,도매 및 소매업,경기도 평택시 진위면 (진위면) 청호리 340번지 5호
101,데브구루,1148637116,정보통신업,서울특별시 금천구 가산디지털1로 168 우림 라이온스밸리 A동 11층 1102호
102,동성앙카,1348162521,제조업,"경기 안산시 단원구 만해로169번길 11 (신길동, 일륭기공(주))"
103,조이앤비즈,1078700904,정보통신업,"서울특별시 영등포구  양평로21길 26 (양평동5가, 선유도아이에스BIZ타워) 1608호"
104,엠토스솔루션스,1198617662,도매 및 소매업,"서울특별시 금천구 가산디지털1로 219 811,1112호 (가산동 벽산디지털밸리6차)"
105,디오에프연구소,1068688628,정보통신업,"서울특별시 성동구 성수일로 77, 비204호, 601호, 602호, 603호(성수동1가, 서울숲아이티밸리)"
106,스타메드,1288660426,제조업,경기도 고양시 일산동구  하늘마을로 158 (중산동) 비동 1403호
107,에오스와이텍,7458100567,정보통신업,"서울 송파구 법원로11길 25 비동 9층 901,902호 (문정동, 에이치비지니스파크)"
108,디딤365,2208709625,정보통신업,"서울특별시 금천구 디지털로9길 68 (20층 2006~2010호,16층 1601,1602호)"
109,디디알플러스,1178145264,정보통신업,서울특별시 금천구 가마산로 96 대륭테크노타운8 1214호
110,오알켐,1408133055,제조업,경기 안산시 단원구 시화벤처로 705 (성곡동)
111,코아아이티,3018616490,정보통신업,충청북도 청주시 청원구 오창읍 과학산업4로 8-6 
112,포바이포,7128700690,정보통신업,"서울특별시 서초구 강남대로 479 (12~14층 (반포동, 신논현타워))"
113,케이티지,3148140778,정보통신업,대전광역시 유성구 대덕대로 593 대덕테크비즈센터 508호
114,동일알엔씨,6218156993,제조업,경남 양산시 어곡공단3길 38 (어곡동)
115,나노켐,5158103075,제조업,경북 청도군 청도읍 월곡2길 49 
116,브레인즈컴퍼니,2208180932,정보통신업,서울 성동구 성수이로 87 8층 (성수동2가)
117,노블컴퍼니,2128605752,"전문, 과학 및 기술 서비스업","서울특별시 강동구  천호대로 1089 (천호동, 강동 헤르셔) 15층 1501호"
118,안전하는사람들,2148734551,"전문, 과학 및 기술 서비스업",경기도 의왕시 성고개로 53 10층 17호
119,오토핸즈,1078801180,정보통신업,서울 영등포구 양평로25길 8 (양평동5가) 어반322 8층 오토핸즈
120,윌비소프트,2068677101,정보통신업,서울특별시 성동구  광나루로 130-0 (성수동1가) 서울숲IT캐슬 907호
121,큐빅테크,1078132947,정보통신업,"서울특별시 구로구 디지털로 272, 301호, 302호, 303호 (구로동,한신아이티타워)"
122,이너버스,2208622785,정보통신업,"서울 영등포구 양평로21길 26 (양평동5가) 아이에스비즈타워1604호,1605호,1606호,1607호"
123,전유산업,5038188974,제조업,대구광역시 달서구  성서공단북로 77-20 (호산동)
124,더밤부,3058625012,도매 및 소매업,대전광역시 중구  성산로14번길 36 (안영동)
125,아스트라코팅,8348600858,제조업,대구광역시 달성군 구지면 국가산단서로71길 138-5 (구지면)
126,아미크,2118857436,정보통신업,서울특별시 성동구  성수일로 10 (성수동1가) 서울숲ITCT 14층 06호
127,에이알티플러스,5778100440,제조업,경기도 이천시 대월면 대평로 195-62 (대월면)
128,에이치설퍼,1208131581,제조업,서울특별시 강남구 언주로165길 10 
129,임픽스,1288145207,정보통신업,"서울 동대문구 천호대로 375 3층 (장안동, 학인빌딩)"
130,지디씨컨설팅,1198656030,"전문, 과학 및 기술 서비스업","서울특별시 강남구  논현로 556 (역삼동, 엘엔케이빌딩) 5층"
131,엔키아,1078166898,정보통신업,"경기 성남시 분당구 대왕판교로 660 비동 10층 (삼평동, 유스페이스1)"
132,레드소프트,1138634377,정보통신업,서울특별시 구로구 디지털로31길 38-21 309호 (이앤씨벤처드림타워3차)
133,메이아이,3148182273,정보통신업,"대전 유성구 반석동로40번길 12 12, 2층 3층 (반석동)"
134,다원체어스,1328137481,제조업,경기도 남양주시 수동면 소래비로 474-16 (수동면)
135,라츠온,8758100378,정보통신업,서울특별시 금천구  디지털로 200 (가산동) 9층
136,미큐어,6468601401,도매 및 소매업,서울특별시 강남구  영동대로131길 20 (청담동) 5층
137,메이저월드,1438124986,도매 및 소매업,"경기도 화성시  동탄기흥로 557 (영천동, 금강펜테리움IT타워) 1407,1408호"
138,대한산업보수,4178110286,건설업,전라남도 여수시  삼동3길 7 (주삼동)
139,진영TBX,6088142860,제조업,"경남 창원시 성산구  남면로 501 (내동, 진영티비엑스주식회사)"
140,이스터마케팅서비스,3308800194,"사업시설 관리, 사업 지원 및 임대 서비스업","서울 중구 동호로20길 6 (신당동, 아세아빌딩) 503호"
141,게이트고메코리아유한회사,6018600582,제조업,인천 중구 공항동로2길 103 (운서동)
142,한국메카,3062881754,제조업,대전 유성구 테크노2로 70 (관평동)
143,윈위즈,1058618717,정보통신업,"서울특별시 성동구 아차산로 126 1210호 ((성수동2가, 더리브 세종타워))"
144,엔공구,7568600747,도매 및 소매업,광주광역시 광산구 진곡산단4번로 26 (진곡동) 씨동
145,네이처텍,3018614677,제조업,충북 진천군 초평면 용정길 29-8 (주) 네이처텍 (남양알로에)
146,아이엠디티,6778602118,"전문, 과학 및 기술 서비스업",서울특별시 서초구 강남대로 311 11층 1102호
147,매그니프,2978100210,도매 및 소매업,서울특별시 강남구 봉은사로 226 6층
148,따뜻한세상,5038600987,제조업,대구 달서구 호산로 22 (호산동)
149,유브레인커뮤니케이션즈,1148667361,"전문, 과학 및 기술 서비스업",서울 마포구 창전로 90 6층 (신수동)
150,태건환경건설,2208729107,"수도, 하수 및 폐기물 처리, 원료 재생업",충청남도 당진시 합덕읍 면천로 1361-46 
151,대건소프트,6168800050,정보통신업,"대전광역시 유성구 테크노2로 187 5층 504,505호 (미건테크노월드2차)"
152,모바일이앤엠애드,2158719169,"전문, 과학 및 기술 서비스업","서울특별시 송파구  법원로9길 26 (문정동, 이에치비즈니스파크) C동 1303호"
153,모스티소프트,1078716968,정보통신업,서울 영등포구 여의나루로 67 1702 (여의도동)
154,엔오원,3148128094,도매 및 소매업,"서울특별시 영등포구 국제금융로6길 33, 8층 31호(여의도동, 맨하탄빌딩)"
155,건설경제연구원,1428202180,"사업시설 관리, 사업 지원 및 임대 서비스업",경기도 용인시 기흥구 흥덕1로 13 1201호 (흥덕IT밸리 타워동)
156,인포솔루션,1348735399,정보통신업,"경기도 안산시 단원구  산단로 325 (신길동, 에프-1368호 리드 스마트스퀘어 지식산업센터)"
157,지에프아이,6168624344,제조업,경기도 김포시 양촌읍 황금3로39번길 20-42 (양촌읍)
158,기본에,8438100158,도매 및 소매업,경기도 포천시 군내면 반월산성로 193-33 
159,동하코퍼레이션광주점,4098519983,"전문, 과학 및 기술 서비스업",광주광역시 북구  첨단벤처로40번길 30 (대촌동)
160,감동란,3088137910,제조업,충청남도 논산시 연무읍 동안로 515-9 (신화리)
161,화영,6228113207,제조업,부산 강서구 과학산단1로60번길 12 (지사동)
162,대구정밀,5148116806,제조업,경북 칠곡군 왜관읍 2산업단지2길 153 6B 201L
163,에스엠티비전,5318801350,정보통신업,"서울특별시 금천구  가산디지털1로 225 (가산동, 에이스 가산 포휴(지식산업센터)) 1411,1412호"
164,동하코퍼레이션이천지점,1268529970,"전문, 과학 및 기술 서비스업",경기 이천시 부발읍 신아로 124 
165,마메든도어,3148609108,제조업,충남 계룡시 두마면 제1산단로 40-7 (..)
166,나이프코리아,1238142660,제조업,"인천광역시 남동구  남동대로49번길 52 (고잔동, 130블럭7롯트)"
167,이지컨설턴트,4958701417,"전문, 과학 및 기술 서비스업","경기 용인시 기흥구 흥덕1로 13 타워동 12층 1203호 (영덕동, 흥덕IT밸리)"
168,알이디티,2458100581,제조업,대전 유성구 테크노2로 13-10 (관평동)
169,트리포스,2208664863,정보통신업,"경기 성남시 분당구 판교로 253 B동 1001호(삼평동, 판교이노밸리)"
170,에어큐브,2208651922,정보통신업,"서울 강서구 양천로 401 비동 606호 (가양동, 강서한강자이타워)"
171,다믈파워반도체유한회사,2448601239,"전문, 과학 및 기술 서비스업",경기도 안양시 동안구 학의로 250 5층 506호 (관양두산벤처다임)
172,엠이씨인더스트리,2158165851,도매 및 소매업,서울특별시 송파구 동남로8길 30-40 (문정동)
173,네스트필드,1348686872,"전문, 과학 및 기술 서비스업","경기도 안산시 상록구  해안로 705 (사동, 경기테크노파크) 5동 RIT센터402호"
174,영사이언스,2148170180,도매 및 소매업,"경기 부천시 오정구 석천로 397 301동 1304호 (삼정동, 부천테크노파크 쌍용3차)"
175,삼원특수지,2188117187,도매 및 소매업,서울특별시 광진구  천호대로 549 (중곡동) G타워 11층
176,에이텍에이피,1088800753,제조업,"경기 성남시 분당구 판교로 289 (삼평동) 7,9층"
177,이노테크미디어,2048608699,제조업,"인천광역시 부평구  부평대로 283 (청천동, 우림라이온스밸리) B동 406호"
178,드제이,2618120556,정보통신업,"서울 마포구 월드컵북로5길 12 (서교동) 2,3층"
179,아이티코리아,3078119452,"전문, 과학 및 기술 서비스업",충남 공주시 번영1로 52 (신관동)
180,백조씽크,2048130653,제조업,서울 동대문구 청계천로 463 (용두동)
181,소다시스템,8548600075,정보통신업,"경기도 평택시 진위면 진위2산단로 140 (진위면, 더퍼스트타워 평택) 409호"
182,전주방송,4188114591,정보통신업,전라북도 전주시 덕진구  정여립로 1083 (만성동)
183,트루엔,1088169506,제조업,서울 구로구 디지털로33길 28 우림이비지센터빌딩 1차 1309호 (구로동)
184,성원정보기술,5048147317,정보통신업,"대구광역시 달성군 다사읍 대실역남로2길 20-6 (다사읍, 성원빌딩3층)"
185,엠이티,3148633419,제조업,대전광역시 유성구  테크노11로 46 (탑립동)
186,가스켐테크놀로지,3128113810,제조업,충남 천안시 서북구 성환읍 와룡길 350 
187,케이씨이아이,1068131305,정보통신업,"서울 구로구 디지털로32길 30 15층 (구로동, 코오롱 디지털타워 빌란트)"
188,이케이,2148651854,정보통신업,"경기도 용인시 기흥구  기흥로 58 (구갈동, 기흥ICT밸리 SK V1) B동 29층 2901호"
189,흥진정밀,1368111159,제조업,경기 김포시 승가로76번길 126 (풍무동)
190,백조씽크,3038505371,제조업,충북 음성군 삼성면 대성로 353 
191,G.M,1318150609,제조업,경기도 시흥시 엠티브이26로58번길 5 
192,아이스크림미디어,1208633565,정보통신업,경기 성남시 분당구 판교역로 225-20 (삼평동)
193,브이티더블유,2118669582,"전문, 과학 및 기술 서비스업",서울 용산구 후암로 107 19층 (동자동)
194,악어디지털,1358639601,정보통신업,경기도 용인시 기흥구 구성로 357 10층 (용인테크노밸리 A동)
195,플렉시아,1618101002,제조업,충청남도 당진시 신평면 원머리로 166-23 (신평면)
196,아이티젠,1088122248,정보통신업,서울 영등포구 여의나루로 71 1304호 (여의도동)
197,이노시엠,1248675932,제조업,경기도 화성시 향남읍 발안로 702-52 
198,컴앤텍,1348609142,제조업,전남 여수시 여수산단로 780 (중흥동)
199,디알텍,1078840539,제조업,경기 성남시 중원구 둔촌대로541번길 29 (상대원동)
200,파이언넷,2208674570,정보통신업,"서울 강서구 마곡동로 36 (마곡동, 파이언넷 주식회사)"
201,교림소프트,2498800845,정보통신업,서울특별시 구로구 디지털로33길 27 3층 307호 (삼성IT밸리)
202,레드버튼,2248600895,"전문, 과학 및 기술 서비스업",경기 안양시 동안구 동편로13번길 65 (관양동)303호
203,유성화연테크,3148124759,제조업,충청남도 금산군 추부면 신평공단1로 14-0 (추부면) ㈜유성화연테크
204,엠에스에스글로벌,3068101420,제조업,충남 논산시 연무읍 동산산업단지로 101-11
205,동양전자공업,1368118322,제조업,경기 평택시 청북읍 오금길 14-48 (동양전자공업(주))
206,오픈프레스,2098142469,정보통신업,서울 성동구 상원1길 26 (성수동1가) 서울숲 에이타워 406호
207,소야그린텍,1248160899,제조업,경기 화성시 향남읍 제약공단2길 34-26 향남제약공단
208,아라소프트,7248600546,정보통신업,경상남도 진주시 정촌면 뿌리산단로 90 (정촌면)
209,다래전략사업화센터,3428100276,"전문, 과학 및 기술 서비스업",서울특별시 강남구 테헤란로 132 11층 (한독타워)
210,오메가포인트,1148601317,정보통신업,서울 서초구 강남대로93길 9 금강헌 3층 (잠원동)
211,스토리타코,5058185366,정보통신업,서울특별시 서초구 강남대로 349 14층
212,스마트포트테크놀로지,2208630325,정보통신업,인천광역시 계양구  벌말로566번길 13-1 (상야동)
213,대은계전,6168157632,제조업,제주 제주시 첨단로8길 86-2 (영평동)
214,유압사랑,1408113501,제조업,"경기 시흥시  협력로 71 (정왕동, 시화공단 1마 708호)"
215,엘라이트,1378624555,제조업,충청남도 천안시 동남구 풍세면 풍세산단로 215 (풍세면) 309호
216,아이엔아이소프트,6108633675,정보통신업,"서울 영등포구 영신로 166 10층 1005,1006호 (영등포동6가)"
217,위사,1108177203,정보통신업,서울 강남구 선릉로111길 8 (논현동)
218,믹시스템,2068184247,정보통신업,서울특별시 구로구 디지털로33길 55 6층 609호 (이앤씨벤처드림타워 2차)
219,리눅스데이타시스템,2118719599,정보통신업,서울 강남구 봉은사로114길 40 2층 (삼성동)
220,엔에이치엔인재아이엔씨,1198145810,정보통신업,"서울특별시 구로구 디지털로 300 14층 (구로동,지밸리 비즈 플라자)"
221,화신볼트산업,6038120158,제조업,부산 사하구 하신중앙로3번길 64 (장림동)
222,한국오바라,1198118007,제조업,경기 화성시 향남읍 발안공단로4길 97-23 발안지방산업단지 5-4
223,부경테크,6172708767,제조업,부산 기장군 정관읍 매곡길 40 1층
224,벨루션네트웍스,1238602095,도매 및 소매업,경기도 안양시 동안구  시민대로109번길 56 (호계동)
225,코웰정밀,6038121064,제조업,부산 강서구 녹산산단261로 64 (송정동)
226,에이텐시스템,1098630595,정보통신업,서울특별시 금천구  가산디지털2로 67 (가산동) 2층 203호
227,티엔에스솔루션,3168801687,제조업,충청남도 천안시 서북구 한들1로 40-7 202호
228,포산인더스트리,1058194893,도매 및 소매업,경기 고양시 일산동구 중앙로1275번길 60-21 10층 (장항동)
229,신한바이오켐,2148140309,제조업,경기 화성시 양감면 제약단지로 260 
230,비플,2208791940,도매 및 소매업,서울특별시 중구  삼일대로6길 5 (충무로2가) 조양빌딩신관 2층
231,대신네트웍스,3018142955,정보통신업,충북 청주시 서원구 1순환로727번길 4 (개신동)
232,리클,7228801989,도매 및 소매업,경기도 남양주시 오남읍 양지로 338-8 (오남읍) 2층
233,베이그,2118834068,정보통신업,서울 강남구 선릉로161길 7 4층 (신사동)
234,아이-스펙,6098171015,제조업,경남 창원시 의창구 팔용로371번길 8 (팔용동)
235,한국공조엔지니어링,1338125858,제조업,경기 평택시 포승읍 평택항로268번길 185 
236,메디앙스,2088103973,제조업,서울특별시 강남구 논현로64길 4 메디앙스401빌딩5층
237,이데아인포,3148633286,정보통신업,대전광역시 대덕구  계족산로36번길 9 (중리동) 5층
238,제이앤에스팩토리,8868700138,정보통신업,"서울 종로구 청계천로 71 602호 (관철동, 계원빌딩)"
239,렌즈미,1328607546,도매 및 소매업,경기 구리시 아차산로 499 (교문동)중앙하이츠티움 3층
240,디케이,5028139067,제조업,대구 동구 해동로 191 (검사동)
241,지성큐앤텍,6098127445,제조업,경남 창원시 성산구 성주로81번길 6 (남산동)
242,지오시스템리서치,1238158672,"전문, 과학 및 기술 서비스업",경기 군포시 엘에스로 172 306호 (금정동)
243,신성씨앤에스,1198618434,도매 및 소매업,서울특별시 금천구  가산디지털1로 19 (가산동) 1301호-1305호
244,태진화학,1308166199,제조업,경기 화성시 팔탄면 시청로721번길 100 
245,한국후꼬꾸,1348105893,제조업,경기 안산시 단원구 동산로 63 401호 (원시동)
246,앤앤에스피,2148745460,정보통신업,서울특별시 강남구  논현로 100 (개포동) 2층
247,이비테크,3148137268,제조업,대전 유성구 테크노2로 170-9 (용산동)
248,강우기업,2148108274,건설업,서울 서초구 서초대로52길 37 (서초동)
249,인사커뮤니케이션,1018647530,정보통신업,"서울특별시 성동구  연무장5가길 25 (성수동2가, SKV1타워) 1007호"
250,케이엔케이,1248694467,제조업,경기 화성시 기산로87번길 2 (기산동)
251,필링크,1358601444,제조업,"경기도 수원시 영통구  광교로 109 (이의동, 경기R&DB센터) 703호"
252,맥이엔에스,2318600118,제조업,충청북도 음성군 감곡면 오갑길192번길 35 (감곡면)
253,승진엔지니어링,4178113624,제조업,전남 여수시 소라면 덕양로 251 
254,에네스지,3148149032,"전문, 과학 및 기술 서비스업",대전 유성구  테크노10로 8 (탑립동)
255,카이엠,1058727362,정보통신업,서울특별시 구로구 디지털로33길 11 14층 1406호 (에이스테크노타워)
256,우주종합건설,4178123758,건설업,전라남도 여수시 좌수영로 1262 
257,더스코와이어,3128605917,제조업,충남 천안시 동남구 성남면 대흥1길 173-130 
258,아세테크,2138624086,정보통신업,경기도 성남시 분당구 야탑로 94 2층
259,피엔티삼일산업,1348199576,제조업,경기 안산시 단원구 진흥로38번길 86 시화공단5바 502호 (성곡동)
260,제로테크윈,4498801110,제조업,"경기 수원시 영통구 매영로 169 (원천동, 제로테크윈)"
261,우주이엔씨,4178113681,건설업,전남 여수시 중흥1로 36 (중흥동)
262,풍원,1348149829,제조업,경기 안산시 단원구 해봉로255번길 20 (신길동)
