연번,회사명,대표자명,업종,지역,확인서기간만료일
114,은진,박동수,기계금속,경북,2024-07-27
115,릴리커버,안선희,기타,대구,2024-07-27
116,레온,장병익,전기전자,경기,2024-07-27
117,영진테크,노기우,화학,경기,2024-07-27
118,화성정밀공업사,조한욱,기계금속,대구,2024-07-27
119,메사,정진오,섬유,경기,2024-07-28
120,엔코,홍상원,서비스,충북,2024-07-28
121,태광인더스트리,이강성,기계금속,경기,2024-07-28
122,엘텍코리아,김세진,정보통신,서울,2024-07-28
123,화이어웍스,신현덕,기타,서울,2024-07-28
124,카이토리,김남해,정보통신,대전,2024-07-29
125,신금성엘리베이터,조용래,기타,대구,2024-07-29
126,신성미네랄,"정기윤,차태형",기타,충북,2024-07-29
127,동아전기,신상균,전기전자,경기,2024-07-29
128, 지노믹트리,안성환,바이오,대전,2024-07-29
129,유한책임회사 센도리,박문수,기타,서울,2024-07-30
130,한양소재 ,"박팔용,박재한",화학,충남,2024-07-30
131,앤디,양미란,화학,경기,2024-07-30
132,나눅스케미칼,권오균,화학,경남,2024-07-31
133,테크플라워,김종철,기계금속,부산,2024-07-31
134, 감동란,타카오카타카히로,식품,충남,2024-08-01
135,토탈키즈,조성범,섬유,경기,2024-08-01
136,대명통신,박부규,전기전자,충북,2024-08-01
137,일흥엔터프라이즈,채수호,전기전자,경기,2024-08-01
138,두인코컴넷,이철규,정보통신,서울,2024-08-02
139, 에코아이티,"홍성호,최재성",서비스,서울,2024-08-02
140,디나인컴즈,안소연,서비스,서울,2024-08-02
141,피케이엘앤에스,박성우,전기전자,인천,2024-08-02
142,동양기전,심재덕,기계금속,서울,2024-08-02
143,영농조합법인 창녕식품,김용식,식품,경남,2024-08-02
144,목산산업,강승규,기타,인천,2024-08-02
145,원경,김원춘,기계금속,경남,2024-08-02
146,범양산업,이영임,섬유,부산,2024-08-02
147,스페이스톡,정재욱,기타,서울,2024-08-02
148,앤트테크놀로지,김진석,정보통신,인천,2024-08-02
149,금용,변정훈,기타,경북,2024-08-03
150,아이엔지알,피재호,바이오,경기,2024-08-03
151,이큐테크플러스,김용원,전기전자,경기,2024-08-03
152,대양,안요한,기타,부산,2024-08-03
153,에이로,채경록,화학,부산,2024-08-03
154,하나포장,한상욱,기타,전남,2024-08-03
155,미광엔텍,오동훈,전기전자,경북,2024-08-04
156,에스피케이,이춘식,서비스,경기,2024-08-04
